FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
050101;0000;24,0833;;;
050102;0000;21,4167;;;
050103;0000;22,5;;;
050104;0000;28,125;;;
050105;0000;23,2917;;;
050106;0000;24,6667;;;
050107;0000;52,619;;;
050108;0000;43,7916;;;
050109;0000;27;;;
050110;0000;33;;;
050111;0000;34,875;;;
050112;0000;30,25;;;
050113;0000;34,875;;;
050114;0000;21,4167;;;
050115;0000;30,125;;;
050116;0000;33,875;;;
050117;0000;37,0416;;;
050118;0000;34,8333;;;
050119;0000;31,7917;;;
050120;0000;32,2916;;;
050121;0000;32,125;;;
050122;0000;24,5417;;;
050123;0000;25,2917;;;
050124;0000;28,25;;;
050125;0000;31,1667;;;
050126;0000;32,5;;;
050127;0000;29,7917;;;
050128;0000;26,4167;;;
050129;0000;16,9167;;;
050130;0000;12,5417;;;
050131;0000;23,625;;;
050201;0000;34,0833;;;
050202;0000;70,7916;;;
050203;0000;61,5833;;;
050204;0000;48,2916;;;
050205;0000;35,2916;;;
050206;0000;35,5416;;;
050207;0000;25,9167;;;
050208;0000;32,5454;;;
050209;0000;34;;;
050210;0000;39,4166;;;
050211;0000;32,375;;;
050212;0000;24,1667;;;
050213;0000;15,0417;;;
050214;0000;21,375;;;
050215;0000;25,9583;;;
050216;0000;39,5416;;;
050217;0000;34,7083;;;
050218;0000;36,875;;;
050219;0000;35,7083;;;
050220;0000;35,875;;;
050221;0000;29,0417;;;
050222;0000;27,7;;;
050223;0000;26,4583;;;
050224;0000;38,2916;;;
050225;0000;39,9166;;;
050226;0000;34,125;;;
050227;0000;33,1666;;;
050228;0000;30,7083;;;
050301;0000;29,6667;;;
050302;0000;34,9166;;;
050303;0000;29,9167;;;
050304;0000;28,0417;;;
050305;0000;33,75;;;
050306;0000;29,625;;;
050307;0000;19,3333;;;
050308;0000;25,9167;;;
050309;0000;31,625;;;
050310;0000;32,8333;;;
050311;0000;27,6667;;;
050312;0000;30,1667;;;
050313;0000;28,4167;;;
050314;0000;25,3333;;;
050315;0000;23;;;
050316;0000;24,25;;;
050317;0000;25,4167;;;
050318;0000;31,625;;;
050319;0000;38,7916;;;
050320;0000;47,9166;;;
050321;0000;34,9523;;;
050322;0000;30,3333;;;
050323;0000;38,0454;;;
050324;0000;42,3333;;;
050325;0000;35,3333;;;
050326;0000;24,0417;;;
050327;0000;27,8333;;;
050328;0000;33,5416;;;
050329;0000;43,8333;;;
050330;0000;52,6666;;;
050331;0000;36,421;;;
050401;0000;30;;;
050402;0000;32,7083;;;
050403;0000;27,5417;;;
050404;0000;32,5416;;;
050405;0000;34;;;
050406;0000;28,7083;;;
050407;0000;28,4167;;;
050408;0000;40,6666;;;
050409;0000;38,3333;;;
050410;0000;31,4167;;;
050411;0000;32,8333;;;
050412;0000;45,2916;;;
050413;0000;41;;;
050414;0000;46,4166;;;
050415;0000;52,4166;;;
050416;0000;62,9454;;;
050417;0000;56,7083;;;
050418;0000;51,25;;;
050419;0000;41,75;;;
050420;0000;40,1666;;;
050421;0000;55,4583;;;
050422;0000;58,0416;;;
050423;0000;63,5416;;;
050424;0000;34,5833;;;
050425;0000;27,5;;;
050426;0000;40,2083;;;
050427;0000;57,7916;;;
050428;0000;41,125;;;
050429;0000;46,5;;;
050430;0000;47,0416;;;
050501;0000;42,9166;;;
050502;0000;43;;;
050503;0000;28,0833;;;
050504;0000;10,0833;;;
050505;0000;30,7143;;;
050506;0000;43,6666;;;
050507;0000;37,125;;;
050508;0000;21;;;
050509;0000;52,375;;;
050510;0000;25,0833;;;
050511;0000;73,6666;;;
050512;0000;37,4583;;;
050513;0000;26,9583;;;
050514;0000;29;;;
050515;0000;37,375;;;
050516;0000;29,125;;;
050517;0000;22,9167;;;
050518;0000;14,8333;;;
050519;0000;20,0417;;;
050520;0000;38,7083;;;
050521;0000;56,5416;;;
050522;0000;78,7083;;;
050523;0000;12,2917;;;
050524;0000;33,1666;;;
050525;0000;41,5833;;;
050526;0000;73,7916;;;
050527;0000;64,1428;;;
050528;0000;;;;
050529;0000;35,875;;;
050530;0000;52;;;
050531;0000;61,9166;;;
050601;0000;69,6666;;;
