FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
050101;0000;0,983333;;;
050102;0000;0,487499;;;
050103;0000;0,499999;;;
050104;0000;0,479166;;;
050105;0000;0,408333;;;
050106;0000;0,495832;;;
050107;0000;0,649999;;;
050108;0000;0,654166;;;
050109;0000;0,599998;;;
050110;0000;0,504166;;;
050111;0000;0,508332;;;
050112;0000;0,512499;;;
050113;0000;0,529165;;;
050114;0000;0,316666;;;
050115;0000;0,508332;;;
050116;0000;0,524999;;;
050117;0000;0,424999;;;
050118;0000;0,441666;;;
050119;0000;0,479166;;;
050120;0000;0,534999;;;
050121;0000;0,287499;;;
050122;0000;0,420833;;;
050123;0000;0,491666;;;
050124;0000;0,491666;;;
050125;0000;0,462499;;;
050126;0000;0,324999;;;
050127;0000;0,324999;;;
050128;0000;0,562499;;;
050129;0000;0,287499;;;
050130;0000;0,2125;;;
050131;0000;0,554166;;;
050201;0000;0,733333;;;
050202;0000;0,808332;;;
050203;0000;0,749999;;;
050204;0000;0,679166;;;
050205;0000;0,4375;;;
050206;0000;0,454166;;;
050207;0000;0,441666;;;
050208;0000;0,579165;;;
050209;0000;0,579165;;;
050210;0000;0,679165;;;
050211;0000;0,458333;;;
050212;0000;0,487499;;;
050213;0000;0,333333;;;
050214;0000;0,420833;;;
050215;0000;0,491666;;;
050216;0000;0,604165;;;
050217;0000;0,416666;;;
050218;0000;0,687499;;;
050219;0000;0,716665;;;
050220;0000;0,845832;;;
050221;0000;0,629166;;;
050222;0000;0,683331;;;
050223;0000;0,629166;;;
050224;0000;0,795832;;;
050225;0000;0,974998;;;
050226;0000;0,683332;;;
050227;0000;0,412499;;;
050228;0000;0,391666;;;
050301;0000;0,318181;;;
050302;0000;0,666665;;;
050303;0000;0,462499;;;
050304;0000;0,479166;;;
050305;0000;0,599998;;;
050306;0000;0,637499;;;
050307;0000;0,191666;;;
050308;0000;0,554166;;;
050309;0000;0,716665;;;
050310;0000;0,624999;;;
050311;0000;0,516665;;;
050312;0000;0,641665;;;
050313;0000;0,933332;;;
050314;0000;0,583332;;;
050315;0000;0,316666;;;
050316;0000;0,452173;;;
050317;0000;0,733332;;;
050318;0000;1,05833;;;
050319;0000;0,949999;;;
050320;0000;1,17916;;;
050321;0000;0,736362;;;
050322;0000;0,812498;;;
050323;0000;0,974998;;;
050324;0000;0,854165;;;
050325;0000;0,662498;;;
050326;0000;0,375;;;
050327;0000;0,754166;;;
050328;0000;0,687499;;;
050329;0000;1,06666;;;
050330;0000;1,12083;;;
050331;0000;0,979166;;;
050401;0000;1,44583;;;
050402;0000;1,30416;;;
050403;0000;1,16666;;;
050404;0000;1,1;;;
050405;0000;1,05833;;;
050406;0000;0,774999;;;
050407;0000;0,966665;;;
050408;0000;1,24166;;;
050409;0000;1,2625;;;
050410;0000;1,0875;;;
050411;0000;0,962499;;;
050412;0000;1,325;;;
050413;0000;1,20833;;;
050414;0000;1,30416;;;
050415;0000;1,81666;;;
