FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
050101;0000;2,54166;;;
050102;0000;1,70833;;;
050103;0000;1,79167;;;
050104;0000;1,875;;;
050105;0000;1,54167;;;
050106;0000;2,70833;;;
050107;0000;2,45833;;;
050108;0000;2,83333;;;
050109;0000;4,58333;;;
050110;0000;3,54166;;;
050111;0000;3;;;
050112;0000;3,75;;;
050113;0000;3;;;
050114;0000;2,70833;;;
050115;0000;2,45833;;;
050116;0000;2,375;;;
050117;0000;2,58333;;;
050118;0000;2,875;;;
050119;0000;3;;;
050120;0000;2,8;;;
050121;0000;2,83333;;;
050122;0000;2,70833;;;
050123;0000;2,25;;;
050124;0000;2,45833;;;
050125;0000;2,66666;;;
050126;0000;2,625;;;
050127;0000;2,58333;;;
050128;0000;2,66666;;;
050129;0000;2,45833;;;
050130;0000;2,20833;;;
050131;0000;2,625;;;
050201;0000;1,75;;;
050202;0000;1,75;;;
050203;0000;1,375;;;
050204;0000;1,625;;;
050205;0000;1,04167;;;
050206;0000;1,54167;;;
050207;0000;1,5;;;
050208;0000;1,91667;;;
050209;0000;1,79167;;;
050210;0000;2;;;
050211;0000;1,33333;;;
050212;0000;2,66666;;;
050213;0000;1,58333;;;
050214;0000;1,375;;;
050215;0000;2,75;;;
050216;0000;2,95833;;;
050217;0000;1,79167;;;
050218;0000;2,70833;;;
050219;0000;2,75;;;
050220;0000;2,33333;;;
050221;0000;3,125;;;
050222;0000;2,25;;;
050223;0000;3,125;;;
050224;0000;3,25;;;
050225;0000;3,08333;;;
050226;0000;2,41666;;;
050227;0000;1,83333;;;
050228;0000;2,70833;;;
050301;0000;5,95833;;;
050302;0000;3,91666;;;
050303;0000;2,54166;;;
050304;0000;2,33333;;;
050305;0000;3,04166;;;
050306;0000;2,70833;;;
050307;0000;2,75;;;
050308;0000;3,04166;;;
050309;0000;2,79166;;;
050310;0000;2,58333;;;
050311;0000;2,20833;;;
050312;0000;1,70833;;;
050313;0000;2,75;;;
050314;0000;2,45833;;;
050315;0000;2,41666;;;
050316;0000;2,58333;;;
050317;0000;2,16666;;;
050318;0000;3,25;;;
050319;0000;2,5;;;
050320;0000;3,45833;;;
050321;0000;3,04762;;;
050322;0000;2,75;;;
050323;0000;3,04166;;;
050324;0000;2,54166;;;
050325;0000;2,29166;;;
050326;0000;3,5;;;
050327;0000;3,5;;;
050328;0000;3,75;;;
050329;0000;4,70833;;;
050330;0000;6;;;
050331;0000;3,95833;;;
050401;0000;2,625;;;
050402;0000;2,58333;;;
050403;0000;1,79167;;;
050404;0000;2,04166;;;
050405;0000;2,33333;;;
050406;0000;2,29166;;;
050407;0000;2,75;;;
050408;0000;2,58333;;;
050409;0000;2,58333;;;
050410;0000;2,20833;;;
050411;0000;2,25;;;
050412;0000;2,45833;;;
050413;0000;2,16666;;;
050414;0000;3,08333;;;
050415;0000;5,29166;;;
050416;0000;4,125;;;
050417;0000;3,95833;;;
050418;0000;4,75;;;
050419;0000;3,95833;;;
050420;0000;4,58333;;;
050421;0000;4,125;;;
050422;0000;3,95833;;;
050423;0000;5,25;;;
050424;0000;3,29166;;;
050425;0000;2,75;;;
050426;0000;2,375;;;
050427;0000;2,5;;;
050428;0000;2,91666;;;
050429;0000;5,83333;;;
050430;0000;4,29166;;;
050501;0000;3,08333;;;
050502;0000;3,375;;;
050503;0000;2,75;;;
050504;0000;2,08333;;;
050505;0000;3,25;;;
050506;0000;4,41666;;;
050507;0000;2,83333;;;
050508;0000;2,33333;;;
050509;0000;4,70833;;;
050510;0000;2,20833;;;
050511;0000;4,54166;;;
050512;0000;3,66666;;;
050513;0000;2,16666;;;
050514;0000;1,91667;;;
050515;0000;2,04166;;;
050516;0000;2;;;
050517;0000;2,125;;;
050518;0000;1,33333;;;
050519;0000;1,95833;;;
050520;0000;4,54166;;;
050521;0000;4,83333;;;
050522;0000;4,41666;;;
050523;0000;1,33333;;;
050524;0000;2,04166;;;
050525;0000;3,25;;;
050526;0000;4,66666;;;
050527;0000;5,22727;;;
050528;0000;;;;
050529;0000;;;2,8564;
050530;0000;;;5,55005;
050531;0000;;;6,15694;
050601;0000;;;7,37276;
050602;0000;;;3,97808;
050603;0000;;;;
050604;0000;;;2,40704;
050605;0000;;;3,34193;
050606;0000;;;7,75031;
050607;0000;;;4,54819;
050608;0000;;;6,28152;
050609;0000;;;5,59239;
050610;0000;;;;
050611;0000;;;;
050612;0000;;;3,51611;
050613;0000;;;5,96576;
050614;0000;;;4,21149;
050615;0000;;;3,19274;
050616;0000;;;3,21148;
050617;0000;;;5,16494;
050618;0000;;;6,81227;
050619;0000;;;;
050620;0000;;;;
050621;0000;;;4,68903;
050622;0000;;;4,36719;
050623;0000;;;6,56698;
050624;0000;;;;
050625;0000;;;7,6936;
050626;0000;;;5,15814;
050627;0000;;;3,89675;
050628;0000;;;;
050629;0000;;;;
050630;0000;;;5,73586;
050701;0000;;;6,3776;
050702;0000;;;;
050703;0000;;;2,0494;
050704;0000;;;;
050705;0000;;;;
050706;0000;;;5,95525;
050707;0000;;;;
050708;0000;;;;
050709;0000;;;;
050710;0000;;;;
050711;0000;;;;
050712;0000;;;;
050713;0000;;;5,42999;
050714;0000;;;;
050715;0000;;;3,30653;
050716;0000;;;6,09634;
050717;0000;;;6,01362;
050718;0000;;;6,03123;
050719;0000;;;;
050720;0000;;;;
050721;0000;;;;
050722;0000;;;4,6399;
050723;0000;;;5,18498;
050724;0000;;;7,32679;
050725;0000;;;;
050726;0000;;;;
050727;0000;;;7,60889;
050728;0000;;;6,3894;
050729;0000;;;3,02215;
050730;0000;;;2,10608;
050731;0000;;;3,88064;
050801;0000;;;4,08976;
050802;0000;;;2,64531;
050803;0000;;;6,27821;
050804;0000;;;2,12281;
050805;0000;;;2,54062;
050806;0000;;;3,71994;
050807;0000;;;;
050808;0000;;;4,21551;
050809;0000;;;3,35638;
050810;0000;;;4,27233;
050811;0000;;;;
050812;0000;;;3,81935;
050813;0000;;;;
050814;0000;;;5,37672;
050815;0000;;;7,30325;
050816;0000;;;3,27682;
050817;0000;;;3,95348;
050818;0000;;;6,48905;
050819;0000;;;;
050820;0000;;;3,55161;
050821;0000;;;3,54737;
050822;0000;;;3,84245;
050823;0000;;;;
050824;0000;;;;
050825;0000;;;4,71869;
050826;0000;;;3,7673;
050827;0000;;;1,42144;
050828;0000;;;;
050829;0000;;;;
050830;0000;;;2,48552;
050831;0000;;;2,54162;
050901;0000;;;2,58969;
050902;0000;;;2,44022;
050903;0000;;;;
050904;0000;;;2,09109;
050905;0000;;;3,54124;
050906;0000;;;5,01661;
050907;0000;;;3,39903;
050908;0000;;;2,70909;
050909;0000;;;3,18113;
050910;0000;;;;
050911;0000;;;;
050912;0000;;;3,18283;
050913;0000;;;;
050914;0000;;;2,18188;
050915;0000;;;3,02266;
050916;0000;;;2,5793;
050917;0000;;;2,35955;
050918;0000;;;;
050919;0000;;;;
050920;0000;;;2,61598;
050921;0000;;;4,1151;
050922;0000;;;4,96498;
050923;0000;;;;
050924;0000;;;2,54011;
050925;0000;;;4,90067;
050926;0000;;;2,68164;
050927;0000;;;;
050928;0000;;;6,84593;
050929;0000;;;3,80088;
050930;0000;;;3,4119;
051001;0000;;;2,52688;
051002;0000;;;1,41592;
051003;0000;;;2,28881;
051004;0000;;;2,61664;
051005;0000;;;;
051006;0000;;;2,74213;
051007;0000;;;;
051008;0000;;;;
051009;0000;;;3,30327;
051010;0000;;;1,32998;
051011;0000;;;2,80509;
051012;0000;;;3,3623;
051013;0000;;;4,78793;
051014;0000;;;5,67377;
051015;0000;;;3,23264;
051016;0000;;;3,52962;
051017;0000;;;3,56803;
051018;0000;;;5,38942;
051019;0000;;;6,01479;
051020;0000;;;3,02195;
051021;0000;;;1,83071;
051022;0000;;;3,14419;
051023;0000;;;3,46224;
051024;0000;;;;
051025;0000;;;;
051026;0000;;;;
051027;0000;;;9,93867;
051028;0000;;;;
051029;0000;;;3,90624;
051030;0000;;;4,66933;
051031;0000;;;26,6254;
051101;0000;;;6,93796;
051102;0000;;;3,89818;
051103;0000;;;;
051104;0000;;;;
051105;0000;;;2,58344;
051106;0000;;;4,82339;
051107;0000;;;;
051108;0000;;;1,55561;
051109;0000;;;2,97036;
051110;0000;;;3,5524;
051111;0000;;;2,59557;
051112;0000;;;3,86423;
