FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
050101;0000;27,6667;;;
050102;0000;24,1667;;;
050103;0000;26,0833;;;
050104;0000;22,2083;;;
050105;0000;22,5;;;
050106;0000;22,3333;;;
050107;0000;29,6667;;;
050108;0000;29,25;;;
050109;0000;28,4583;;;
050110;0000;25,4583;;;
050111;0000;27,7083;;;
050112;0000;25,8333;;;
050113;0000;28,1667;;;
050114;0000;17,7917;;;
050115;0000;26;;;
050116;0000;32,9166;;;
050117;0000;29,25;;;
050118;0000;23,5;;;
050119;0000;26,6667;;;
050120;0000;16,85;;;
050121;0000;20,8333;;;
050122;0000;21,875;;;
050123;0000;23,9583;;;
050124;0000;23,5833;;;
050125;0000;26,25;;;
050126;0000;21,7917;;;
050127;0000;21,9167;;;
050128;0000;22,9583;;;
050129;0000;10,0833;;;
050130;0000;14,125;;;
050131;0000;17,375;;;
050201;0000;30,0417;;;
050202;0000;33,625;;;
050203;0000;25,875;;;
050204;0000;27,6667;;;
050205;0000;30,5417;;;
050206;0000;27,875;;;
050207;0000;20,4167;;;
050208;0000;26,2917;;;
050209;0000;33,1666;;;
050210;0000;29,375;;;
050211;0000;16,1667;;;
050212;0000;19,4167;;;
050213;0000;22;;;
050214;0000;19,375;;;
050215;0000;22,3333;;;
050216;0000;23,9167;;;
050217;0000;16,75;;;
050218;0000;25,9167;;;
050219;0000;21,75;;;
050220;0000;24,9167;;;
050221;0000;22,125;;;
050222;0000;22,125;;;
050223;0000;22;;;
050224;0000;21,4583;;;
050225;0000;27,4167;;;
050226;0000;27,4583;;;
050227;0000;22,7917;;;
050228;0000;15,625;;;
050301;0000;16,4583;;;
050302;0000;21,3333;;;
050303;0000;24,6667;;;
050304;0000;18,0417;;;
050305;0000;20,375;;;
050306;0000;13,0417;;;
050307;0000;8,79166;;;
050308;0000;12,7917;;;
050309;0000;17,125;;;
050310;0000;21,375;;;
050311;0000;7,75;;;
050312;0000;10,5833;;;
050313;0000;26,5417;;;
050314;0000;22,0417;;;
050315;0000;13,9583;;;
050316;0000;17,5;;;
050317;0000;15,0417;;;
050318;0000;17,2917;;;
050319;0000;26,8333;;;
050320;0000;19,8333;;;
050321;0000;16,8261;;;
050322;0000;20,125;;;
050323;0000;22,75;;;
050324;0000;25,5833;;;
050325;0000;28,4167;;;
