FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
050101;0000;56,5833;;;
050102;0000;48,9583;;;
050103;0000;59,8333;;;
050104;0000;66,1666;;;
050105;0000;55,2083;;;
050106;0000;63,375;;;
050107;0000;97,3333;;;
050108;0000;81,5;;;
050109;0000;55,9583;;;
050110;0000;63,6666;;;
050111;0000;70,2083;;;
050112;0000;69,3333;;;
050113;0000;72,125;;;
050114;0000;52,2083;;;
050115;0000;57,125;;;
050116;0000;64,125;;;
050117;0000;69,4583;;;
050118;0000;68,5833;;;
050119;0000;63,2916;;;
050120;0000;;;64,619;
050121;0000;70,1364;;;
050122;0000;54,5416;;;
050123;0000;51,5833;;;
050124;0000;60,375;;;
050125;0000;67,125;;;
050126;0000;62,0416;;;
050127;0000;60,0416;;;
050128;0000;64,125;;;
050129;0000;43,1666;;;
050130;0000;24,2917;;;
050131;0000;52,2916;;;
050201;0000;72,125;;;
050202;0000;108,75;;;
050203;0000;110,083;;;
050204;0000;88,125;;;
050205;0000;70,4583;;;
050206;0000;59,375;;;
050207;0000;60,3333;;;
050208;0000;73,9583;;;
050209;0000;80,125;;;
050210;0000;87,2916;;;
050211;0000;60,6666;;;
050212;0000;41,9166;;;
050213;0000;29,0833;;;
050214;0000;45,7916;;;
050215;0000;61;;;
050216;0000;78,625;;;
050217;0000;71,5;;;
050218;0000;75,8333;;;
050219;0000;77;;;
050220;0000;72,0416;;;
050221;0000;74,625;;;
050222;0000;73,6666;;;
050223;0000;74,2916;;;
050224;0000;92,875;;;
050225;0000;103,458;;;
050226;0000;81,8333;;;
050227;0000;66,7083;;;
050228;0000;56,0476;;;
050301;0000;70,6666;;;
050302;0000;91,0833;;;
050303;0000;83,875;;;
050304;0000;77,0833;;;
050305;0000;80,6666;;;
050306;0000;71,7916;;;
050307;0000;50,4166;;;
050308;0000;65,4583;;;
050309;0000;75,4583;;;
050310;0000;75,7083;;;
050311;0000;50,5;;;
050312;0000;50,7083;;;
050313;0000;61,5416;;;
050314;0000;56,7916;;;
050315;0000;48,5833;;;
050316;0000;53,4583;;;
050317;0000;61,1666;;;
050318;0000;74,6666;;;
050319;0000;77,1666;;;
050320;0000;88;;;
050321;0000;67,875;;;
050322;0000;72,5833;;;
050323;0000;88,5;;;
050324;0000;88,4583;;;
050325;0000;64,5;;;
050326;0000;44,5416;;;
050327;0000;57,3333;;;
050328;0000;68,6666;;;
050329;0000;102,5;;;
050330;0000;112,1;;;
050331;0000;103,167;;;
050401;0000;93,6666;;;
050402;0000;84,5416;;;
050403;0000;69,8333;;;
050404;0000;81,3333;;;
050405;0000;93,0476;;;
050406;0000;79,0416;;;
050407;0000;79,5833;;;
050408;0000;113,833;;;
050409;0000;96,5;;;
050410;0000;71,1666;;;
050411;0000;89,2916;;;
050412;0000;103,125;;;
050413;0000;102,125;;;
050414;0000;110,542;;;
050415;0000;138,333;;;
050416;0000;135,833;;;
050417;0000;115,125;;;
050418;0000;132,292;;;
050419;0000;119,542;;;
050420;0000;118,167;;;
050421;0000;140,667;;;
050422;0000;140,417;;;
050423;0000;138,667;;;
050424;0000;68,375;;;
050425;0000;57,6666;;;
050426;0000;80,4583;;;
050427;0000;95,2916;;;
050428;0000;85,5;;;
050429;0000;114,917;;;
050430;0000;96,9166;;;
050501;0000;84,9583;;;
050502;0000;82,7916;;;
050503;0000;54,625;;;
050504;0000;23,125;;;
050505;0000;49,4545;;;
050506;0000;83;;;
050507;0000;77,8333;;;
050508;0000;41,125;;;
050509;0000;109,667;;;
050510;0000;49,5833;;;
050511;0000;144,792;;;
050512;0000;84,9166;;;
050513;0000;38,4166;;;
050514;0000;37,4166;;;
050515;0000;53,2083;;;
050516;0000;63,25;;;
050517;0000;43,9166;;;
050518;0000;16,9583;;;
050519;0000;35,5833;;;
050520;0000;73,375;;;
050521;0000;99,5416;;;
050522;0000;126,833;;;
050523;0000;20,9583;;;
050524;0000;66,0833;;;
050525;0000;90,6666;;;
050526;0000;120,042;;;
050527;0000;143,583;;;
050528;0000;128,619;;;
050529;0000;54,8333;;;
050530;0000;109,292;;;
050531;0000;127,708;;;
050601;0000;141,8;;;
050602;0000;61,875;;;
050603;0000;69,7083;;;
050604;0000;108,875;;;
050605;0000;109;;;
050606;0000;121,417;;;
050607;0000;139,042;;;
050608;0000;140,542;;;
050609;0000;166,208;;;
050610;0000;45,9583;;;
050611;0000;44,1666;;;
050612;0000;52,1666;;;
050613;0000;68,9166;;;
050614;0000;27,5417;;;
050615;0000;37,5833;;;
050616;0000;52,2083;;;
050617;0000;108,083;;;
050618;0000;19,1667;;;
050619;0000;58,8333;;;
050620;0000;102;;;
050621;0000;69,5833;;;
050622;0000;95,0416;;;
050623;0000;121,75;;;
050624;0000;155,042;;;
050625;0000;125,875;;;
050626;0000;82,2083;;;
050627;0000;12,125;;;
050628;0000;34,3333;;;
050629;0000;84;;;
050630;0000;78,9166;;;
050701;0000;91,0833;;;
050702;0000;18,9167;;;
050703;0000;42,375;;;
050704;0000;80,5833;;;
050705;0000;181,667;;;
050706;0000;108,25;;;
050707;0000;96,0416;;;
050708;0000;126,083;;;
050709;0000;143,583;;;
050710;0000;97,1666;;;
050711;0000;105,25;;;
050712;0000;57,625;;;
050713;0000;60,7083;;;
050714;0000;12,625;;;
050715;0000;70,5833;;;
050716;0000;98,4583;;;
050717;0000;77,6666;;;
050718;0000;114,125;;;
050719;0000;91,5416;;;
050720;0000;61,5833;;;
050721;0000;97,4583;;;
050722;0000;111,583;;;
050723;0000;119,458;;;
050724;0000;107,292;;;
050725;0000;100,333;;;
050726;0000;125,667;;;
050727;0000;159,167;;;
050728;0000;185,5;;;
050729;0000;105,917;;;
050730;0000;85,2083;;;
050731;0000;69,1666;;;
050801;0000;72,5833;;;
050802;0000;88,2083;;;
050803;0000;61,2916;;;
050804;0000;42,2916;;;
050805;0000;33,0833;;;
050806;0000;90,4583;;;
050807;0000;106,042;;;
050808;0000;118,292;;;
050809;0000;127,667;;;
050810;0000;130,917;;;
050811;0000;105,292;;;
050812;0000;135,917;;;
050813;0000;36,75;;;
050814;0000;38,4583;;;
050815;0000;47,4166;;;
050816;0000;18,25;;;
050817;0000;77,2083;;;
050818;0000;103,542;;;
050819;0000;81,7826;;;
050820;0000;49,8333;;;
050821;0000;41,0833;;;
050822;0000;32,375;;;
050823;0000;62,4583;;;
050824;0000;84,9583;;;
050825;0000;79,5;;;
050826;0000;62,8333;;;
050827;0000;7,41666;;;
050828;0000;6,58333;;;
050829;0000;23,9167;;;
050830;0000;38,0416;;;
050831;0000;42,2083;;;
050901;0000;82,8333;;;
050902;0000;78,3333;;;
050903;0000;25,8333;;;
050904;0000;56,4166;;;
050905;0000;114,5;;;
050906;0000;92;;;
050907;0000;79,0416;;;
050908;0000;61,7916;;;
050909;0000;25,875;;;
050910;0000;27,2083;;;
050911;0000;43,8333;;;
050912;0000;66,0833;;;
050913;0000;53,1666;;;
050914;0000;39,9166;;;
050915;0000;81,0833;;;
050916;0000;96;;;
050917;0000;96,0416;;;
050918;0000;100,167;;;
050919;0000;67,625;;;
050920;0000;57,9583;;;
050921;0000;66,0416;;;
050922;0000;55,7916;;;
050923;0000;46,7083;;;
050924;0000;59,6666;;;
050925;0000;52,9166;;;
050926;0000;59,0833;;;
050927;0000;56,9166;;;
050928;0000;46,5833;;;
050929;0000;37,9166;;;
050930;0000;65,1666;;;
051001;0000;66,9166;;;
051002;0000;22,4167;;;
